Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
0,-1,0,-1,1,-1,0.2,0.2,0,0,Feb,4,1,9,3,Returning_Visitor,FALSE
2,53,0,0,23,1668.285119,0.008333333,0.016312636,0,0,Feb,1,1,9,3,Returning_Visitor,FALSE
0,0,0,0,2,32,0,0.1,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,20,2981.166667,0,0.01,0,0,Feb,2,4,4,4,Returning_Visitor,FALSE
0,0,0,0,7,63,0.028571429,0.071428571,0,0.6,Feb,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,22,622.25,0.003030303,0.006060606,0,0.2,Feb,2,5,1,4,Returning_Visitor,FALSE
0,0,0,0,14,222.4,0.017142857,0.057142857,0,0,Feb,1,1,1,2,Returning_Visitor,FALSE
0,0,0,0,2,29,0,0.1,0,1,Feb,2,4,4,2,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0.6,Feb,3,2,3,3,Returning_Visitor,FALSE
2,16,0,0,16,381.6865079,0.011764706,0.046568627,0,0.6,Feb,2,4,2,1,Returning_Visitor,FALSE
0,-1,0,-1,1,-1,0.2,0.2,0,0,Feb,2,2,4,3,Returning_Visitor,FALSE
0,0,0,0,19,620.0333333,0,0.007894737,0,0,Feb,1,1,4,2,Returning_Visitor,FALSE
0,0,0,0,6,1566.5,0.05,0.066666667,0,0.2,Feb,1,1,1,3,Returning_Visitor,FALSE
0,0,0,0,4,105,0,0.025,0,0.6,Feb,1,1,1,4,Returning_Visitor,FALSE
0,0,1,0,7,50,0.038095238,0.080952381,0,0.6,Feb,2,4,1,7,Returning_Visitor,FALSE
0,0,0,0,12,317.8333333,0,0.005555556,0,0,Feb,1,1,1,4,Returning_Visitor,TRUE
0,0,0,0,21,1146.333333,0,0.012962963,0,0.8,Feb,3,2,1,3,Returning_Visitor,FALSE
0,0,0,0,9,303.6666667,0.005555556,0.046296296,0,0,Feb,2,4,5,2,Returning_Visitor,FALSE
0,0,0,0,11,316.6666667,0,0.027272727,0,0.8,Feb,2,2,2,1,Returning_Visitor,FALSE
0,0,0,0,23,501.6666667,0.008695652,0.01884058,0,0.6,Feb,1,1,4,2,Returning_Visitor,FALSE
0,0,0,0,3,55,0.066666667,0.1,0,0.6,Feb,1,1,1,3,Returning_Visitor,FALSE
0,0,0,0,17,284.25,0,0.011764706,0,0,Feb,3,2,6,2,Returning_Visitor,TRUE
2,40,0,0,5,558.5,0,0.028571429,0,0,Mar,2,2,7,2,New_Visitor,TRUE
3,107,0,0,4,145.8333333,0,0.016666667,0,0,Mar,3,2,7,1,New_Visitor,FALSE
0,0,0,0,14,565.3333333,0.037619048,0.04952381,0,0,Mar,2,6,3,1,Returning_Visitor,FALSE
2,38,0,0,14,643,0,0.013333333,35.0928,0,Mar,2,2,5,1,Returning_Visitor,FALSE
0,0,0,0,19,1883.5,0.010526316,0.021052632,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,9,132,0.011111111,0.033333333,0,0,Mar,4,1,1,3,Returning_Visitor,TRUE
0,0,0,0,20,219.3333333,0,0.011666667,0,0,Mar,1,8,7,2,Returning_Visitor,FALSE
1,28,1,47,13,224.5,0,0.014285714,0,0,Mar,1,1,1,8,New_Visitor,FALSE
0,0,0,0,33,778.8166667,0,0.022424242,0,0,Mar,2,5,1,1,Returning_Visitor,FALSE
0,0,0,0,4,82.5,0,0.05,0,0,Mar,3,2,1,3,Returning_Visitor,FALSE
0,0,0,0,2,96,0,0.1,0,0,Mar,4,1,1,1,Returning_Visitor,FALSE
2,147,0,0,2,35,0,0.05,0,0,Mar,2,2,1,2,New_Visitor,FALSE
2,64,0,0,15,565.6666667,0,0.00625,0,0,Mar,2,2,1,1,New_Visitor,FALSE
0,0,0,0,24,308.8635531,0,0.028030303,0,0,Mar,2,6,2,2,Returning_Visitor,FALSE
0,0,0,0,2,12,0,0.1,0,0,Mar,1,1,5,3,Returning_Visitor,FALSE
0,0,0,0,3,8,0.066666667,0.133333333,0,0,Mar,2,4,1,3,Returning_Visitor,FALSE
1,17,0,0,22,399.8,0.019047619,0.038095238,0,0,Mar,1,5,7,1,Returning_Visitor,FALSE
0,0,0,0,3,103,0,0.022222222,0,0,Mar,1,1,1,3,Returning_Visitor,TRUE
2,74,0,0,13,429,0.013333333,0.040444444,0,0,Mar,2,4,3,6,Returning_Visitor,FALSE
0,0,0,0,41,1546.5,0,0.008333333,0,0,Mar,3,2,1,1,Returning_Visitor,TRUE
0,0,0,0,12,358.0666667,0,0.025,0,0,Mar,3,3,2,1,Returning_Visitor,FALSE
1,5.5,0,0,22,339.25,0,0.026984127,0,0,Mar,2,2,2,3,Returning_Visitor,FALSE
1,8.5,0,0,30,659.2,0,0.006451613,0,0,Mar,2,2,3,3,New_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE
0,0,0,0,20,1985,0.03,0.055,0,0,Mar,1,1,1,1,Returning_Visitor,FALSE
0,0,0,0,30,632.5833333,0,0.021666667,0,0,Mar,2,5,1,1,Returning_Visitor,FALSE
13,315.9666667,1,0,15,406.575,0.019047619,0.032380952,0,0,Mar,3,2,3,2,Returning_Visitor,FALSE
0,0,0,0,1,10,0,0.1,0,0,Mar,3,2,3,9,Returning_Visitor,TRUE
0,0,0,0,11,919,0,0.027272727,0,0,Mar,2,6,2,3,Returning_Visitor,FALSE
18,280.95,6,762.5,79,2096.911364,0.003333333,0.014008551,25.96702005,0,Mar,2,4,2,2,Returning_Visitor,FALSE
2,8,0,0,11,543.5,0.007692308,0.038461538,0,0,Mar,2,2,3,13,Returning_Visitor,FALSE
1,7,0,0,4,45,0,0.0125,0,0,Mar,3,2,3,1,Returning_Visitor,FALSE
0,0,0,0,80,801.802381,0,0.0035,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE
0,0,1,15,25,1235.65,0.041666667,0.05327381,0,0,Mar,1,1,1,3,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
1,18.5,0,0,12,208,0.045454545,0.081818182,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE
4,76,0,0,39,1936.55,0.004761905,0.023809524,5.51397619,0,Mar,4,1,3,2,Returning_Visitor,FALSE
0,0,0,0,11,125,0.018181818,0.081818182,0,0,Mar,2,2,1,13,Returning_Visitor,FALSE
0,0,0,0,16,371.5,0.0125,0.025,0,0,Mar,2,5,7,1,Returning_Visitor,FALSE
3,187,2,41,48,1769.697383,0.000606061,0.011616162,16.71534488,0,Mar,2,2,3,2,Returning_Visitor,FALSE
8,166.2,5,371,23,626.2213675,0.004444444,0.008888889,0,0,Mar,1,1,8,3,Returning_Visitor,FALSE
0,0,0,0,27,1070.461905,0,0.007407407,57.7293604,0,Mar,2,2,3,2,Returning_Visitor,FALSE
0,-1,0,-1,1,-1,0.2,0.2,0,0,Mar,3,2,3,3,Returning_Visitor,FALSE
